Nome da Faixa,Cantor ou Compositor,Gênero,Quadrante,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
Will the Circle Be Unbroken,Blind James Campbell,Blues; Country; Folk,Q3,0.75,0.534,0.385,0.0,11,0.363,-6.984,0,0.0353,130.345,4,0.689
Beneath the Crimson Vaults of Cydonia,Bal-Sagoth,International; Pop/Rock,Q2,2.63e-06,0.191,0.969,0.623,10,0.152,-4.306,0,0.102,198.02,4,0.136
Beat the Bastards,The Exploited,Pop/Rock,Q2,4.15e-05,0.339,0.989,0.0178,8,0.124,-4.346,1,0.15,120.167,4,0.101
The Elephant Is Dead (Bush),Bill Hicks,Comedy/Spoken,Q2,0.934,0.507,0.502,3.65e-06,5,0.202,-14.371,0,0.922,79.427,4,0.588
Ring; Telephone; Ring,The Ink Spots,Vocal,Q3,0.592,0.778,0.317,0.0,1,0.0881,-10.732,0,0.334,140.048,4,0.327
Forgive & Forget,Alien Ant Farm,Pop/Rock,Q2,0.366,0.668,0.769,0.0,9,0.0861,-5.25,1,0.218,79.852,4,0.469
The Place Between Us,Chris Botti,Easy Listening; International; Jazz,Q4,0.871,0.753,0.248,0.932,5,0.0673,-16.896,1,0.0294,108.951,4,0.422
Dark Eyes,Gene Krupa,International; Jazz,Q1,0.779,0.622,0.524,0.848,4,0.0847,-9.877,1,0.0888,93.992,4,0.476
My Last Affair,Billie Holiday,Jazz; Vocal; Blues,Q3,0.937,0.695,0.225,0.000131,0,0.104,-12.704,1,0.041,92.326,4,0.572
Heroine,Lou Reed,Pop/Rock,Q3,0.943,0.627,0.233,0.0,0,0.0884,-12.634,1,0.0476,76.559,4,0.177
Pennywise,Pennywise,Pop/Rock,Q2,0.00527,0.347,0.983,0.0,9,0.19,-4.023,1,0.0915,94.277,4,0.655
How Long Has This Been Going On?,Dave Grusin,Jazz; Vocal,Q4,0.572,0.587,0.345,0.804,7,0.0989,-14.036,0,0.0315,129.528,3,0.329
Red Lights; the Stop Light,Jimmy Reed,Blues; R&B,Q3,0.000629,0.654,0.83,1.13e-06,10,0.121,-4.801,1,0.0366,124.989,4,0.548
A-Man,Suicide,Avant-Garde; Pop/Rock,Q2,0.978,0.212,0.79,0.972,3,0.19,-11.142,1,0.14,148.864,4,0.23
Dime Que Me Quieres (Bring a Little Lovin),Ricky Martin,Latin; Pop/Rock,Q1,0.025,0.746,0.595,1.24e-05,1,0.0413,-15.984,1,0.0462,113.921,4,0.893
Too Bad,Faces,Pop/Rock,Q1,0.158,0.407,0.877,1.34e-06,5,0.0542,-6.318,1,0.0638,163.68,4,0.798
Hotter Than That,Louis Armstrong,Jazz,Q1,0.894,0.782,0.409,0.278,3,0.309,-10.191,1,0.0676,106.03,4,0.907
In My Realm,Breach,International; Pop/Rock,Q2,2.72e-05,0.232,0.942,0.0534,10,0.337,-7.057,1,0.113,118.773,3,0.349
GM2 1,Gorilla Biscuits,Pop/Rock,Q2,1.07e-05,0.223,0.79,0.000364,2,0.143,-14.882,1,0.0762,163.314,4,0.445
Alone Together,Lee Konitz,Jazz; Vocal,Q3,0.984,0.549,0.0639,0.646,2,0.103,-20.35,0,0.0579,114.89,3,0.278
Texas Cookin',Guy Clark,Country; Pop/Rock,Q1,0.525,0.833,0.704,0.0,2,0.0934,-8.226,0,0.0927,100.771,4,0.779
Union Song,Tom Morello,Folk; Pop/Rock,Q2,0.538,0.707,0.599,0.0,0,0.176,-7.023,1,0.0396,122.389,4,0.269
O Superman (For Massenet),Laurie Anderson,Avant-Garde; Pop/Rock; New Age,Q3,0.957,0.805,0.0242,0.131,0,0.104,-20.597,0,0.0564,149.038,4,0.295
Withered and Torn,Mendeed,International; Pop/Rock,Q2,0.000438,0.295,0.971,1.51e-06,1,0.184,-2.012,0,0.158,85.132,4,0.291
Heart of a Champion,Nelly,Rap; R&B,Q2,0.105,0.565,0.945,0.0,9,0.536,-3.38,0,0.159,157.754,4,0.858
Passivist,Everyday Madness,Electronic; International; Pop/Rock,Q2,0.00451,0.42,0.977,0.332,10,0.0767,-4.834,1,0.0939,117.042,4,0.5
Stolen Moments,Ahmad Jamal,Jazz; Vocal,Q4,0.89,0.476,0.273,0.9,7,0.0978,-17.457,0,0.0334,117.779,4,0.164
Oh; Lady Be Good,Peter Sellers,Comedy/Spoken; Vocal,Q1,0.0539,0.77,0.896,0.0,0,0.243,-3.971,1,0.039,126.999,4,0.964
Tito on Timbales,Tito Puente,Jazz; Latin,Q1,0.589,0.6,0.524,0.916,0,0.0901,-23.762,1,0.056,137.853,4,0.93
Irresistible Bliss,Chris Botti,Easy Listening; Jazz,Q4,0.636,0.637,0.287,0.931,6,0.0932,-17.024,1,0.0407,78.98,4,0.867
Steal Away,Z.Z. Hill,Blues,Q3,0.0737,0.451,0.569,0.0,10,0.08,-9.68,1,0.0353,184.854,3,0.582
Detroit Blues,Blind James Campbell,Blues; Country; Folk,Q3,0.817,0.671,0.338,2e-06,6,0.0972,-9.917,1,0.0398,87.722,4,0.766
Be My Dream,Suicide,Avant-Garde; Pop/Rock,Q2,0.351,0.514,0.91,0.766,0,0.269,-11.525,0,0.0496,164.343,4,0.153
What Would They Know,Liars,Pop/Rock,Q2,0.102,0.408,0.844,0.838,7,0.289,-6.464,0,0.0429,126.067,4,0.117
The Snake and the Moon,Dead Can Dance,Jazz; New Age; Pop/Rock,Q3,0.152,0.655,0.522,0.000297,8,0.117,-10.485,0,0.0406,112.096,4,0.427
Animal City,Shakira,Latin; Electronic; Pop/Rock; R&B,Q1,0.203,0.781,0.824,0.0,6,0.389,-4.412,0,0.107,140.033,4,0.886
Amanecí en Tus Brazos,Los Dandy's,International; Latin,Q3,0.329,0.408,0.341,0.0,7,0.25,-13.226,1,0.0482,102.827,4,0.386
Death Letter Blues; Pt. 2,Lead Belly,Blues; Folk,Q3,0.865,0.803,0.288,0.0593,7,0.0833,-15.418,0,0.0629,115.685,4,0.865
Hey You,Shakira,Latin; Electronic; Pop/Rock; R&B,Q1,0.172,0.775,0.646,0.0,1,0.103,-5.898,1,0.0365,128.082,4,0.788
Black Girls,Violent Femmes,Country; International; Pop/Rock,Q2,0.0278,0.608,0.61,0.335,11,0.0369,-13.99,0,0.0702,121.275,4,0.669
24 Hour Bulls***,Nailbomb,Electronic; International; Pop/Rock,Q2,1.25e-05,0.45,0.954,1.8e-05,11,0.839,-10.667,0,0.216,186.833,4,0.174
Thank God I Found You,Mariah Carey,Electronic; Pop/Rock; R&B,Q4,0.592,0.348,0.532,0.0,10,0.106,-5.882,1,0.0331,129.297,4,0.148
You Don't Know Me,Simon Joyner,Pop/Rock; Folk,Q3,0.211,0.294,0.403,0.00465,2,0.119,-8.403,1,0.0269,78.694,4,0.338
Trying to Lose the Blues,Joe Liggins,Blues,Q3,0.91,0.481,0.352,0.612,8,0.177,-13.41,1,0.0414,82.928,4,0.503
Bard Dance,Enya,International; New Age; Pop/Rock,Q4,0.447,0.481,0.162,0.952,7,0.109,-23.685,0,0.069,176.044,4,0.659
Dudes,Steel Pulse,Reggae,Q1,0.0579,0.538,0.823,0.000417,6,0.151,-9.805,0,0.113,202.157,4,0.741
Dolores,Miles Davis,Jazz,Q1,0.0424,0.408,0.489,0.000274,7,0.368,-12.614,0,0.0409,138.432,4,0.567
New Strings,Miranda Lambert,Country,Q1,0.223,0.539,0.82,1.05e-06,9,0.154,-3.913,1,0.0363,104.033,4,0.56
Bananza (Belly Dancer),Akon,Electronic; R&B,Q1,0.0348,0.828,0.949,0.0113,6,0.317,-3.443,0,0.0458,123.973,4,0.534
Throw Ya Gunz,Onyx,Rap,Q2,0.00212,0.824,0.595,0.0,1,0.106,-11.954,1,0.283,93.993,4,0.711
Where It Went,Judge,Pop/Rock,Q2,1.17e-05,0.298,0.704,0.00803,9,0.108,-12.773,1,0.0534,146.767,4,0.611
Love Is Here to Stay,Dizzy Gillespie,Jazz; Vocal,Q4,0.221,0.528,0.404,2.1e-05,5,0.147,-7.975,1,0.0321,109.299,4,0.627
Goblin City,Panthers,Electronic; International; Pop/Rock,Q2,0.0069,0.794,0.656,0.753,4,0.0801,-7.474,0,0.0466,124.987,4,0.384
House Gone Up in Flames,Tom Morello,Folk; Pop/Rock,Q2,0.535,0.547,0.422,3.99e-06,1,0.0991,-7.276,0,0.058,100.039,4,0.617
The Politics of Starving,Against Me!,Pop/Rock; Folk,Q2,0.000424,0.296,0.89,0.0803,11,0.181,-6.54,0,0.0654,152.463,4,0.691
Wasted Days and Wasted Nights,Doug Sahm,Latin; Pop/Rock,Q3,0.418,0.528,0.42,5.27e-06,3,0.338,-13.908,1,0.0261,98.661,1,0.742
Eight Days On the Road,Aretha Franklin,Electronic; R&B,Q1,0.65,0.708,0.659,8.62e-05,5,0.0513,-7.624,0,0.0398,124.065,4,0.792
It Looks Like Rain,Jann Arden,Pop/Rock,Q3,0.781,0.439,0.077,0.00281,0,0.114,-19.502,0,0.0311,98.223,4,0.0515
Dressed for Sick Sex,Quasimodo Jones,Electronic,Q2,0.442,0.549,0.987,4.99e-05,9,0.387,-6.006,1,0.429,101.309,3,0.206
Drunken Poet's Dream,Hayes Carll,Country; Pop/Rock,Q3,0.478,0.521,0.515,1.37e-05,9,0.114,-6.926,1,0.0289,137.997,4,0.51
Forgiven,Los Lonely Boys,Pop/Rock; Latin,Q3,0.5,0.542,0.718,6.86e-05,3,0.0999,-6.696,1,0.0355,82.037,4,0.629
La Vie Lilas,Serge Lama,Folk; Pop/Rock; Vocal,Q3,0.574,0.406,0.404,2.29e-05,0,0.142,-9.748,1,0.0354,122.74,4,0.14
The Walls Are Starting to Crack,Secret Machines,Pop/Rock,Q3,0.0559,0.305,0.366,0.513,6,0.0727,-10.682,0,0.0317,59.825,4,0.159
Wham and They're Off,Hank Mobley,Jazz,Q1,0.55,0.446,0.636,0.388,10,0.334,-8.184,1,0.0487,135.774,4,0.74
Silent Night,Sara Evans,Holiday,Q4,0.414,0.405,0.377,5.34e-05,7,0.104,-8.112,1,0.0284,77.849,3,0.124
Tortoise Regrets Hare,James Yorkston,Pop/Rock; Folk,Q4,0.788,0.383,0.395,0.00206,2,0.103,-13.693,1,0.0306,83.383,4,0.586
Soft Mouth Vagina,Treponem Pal,Pop/Rock,Q2,1.84e-05,0.56,0.677,8.47e-06,0,0.107,-6.241,1,0.0481,136.904,4,0.64
Tres Deseos,Gloria Estefan,International; Latin,Q1,0.221,0.845,0.954,5.74e-06,5,0.0333,-4.727,1,0.0918,130.863,4,0.963
Felicidad,Gloria Estefan,International; Latin,Q1,0.318,0.795,0.672,0.0,10,0.0504,-7.719,1,0.043,157.892,4,0.964
Milagro,Gloria Estefan,Easy Listening; International; Latin,Q1,0.522,0.785,0.632,0.0,2,0.0707,-7.32,1,0.0352,151.866,4,0.963
The Elephant Riders,Clutch,Pop/Rock,Q2,0.0919,0.495,0.816,6.97e-05,9,0.472,-6.51,1,0.037,91.037,4,0.772
Crippled Inside,John Lennon,Country; Pop/Rock,Q1,0.193,0.545,0.608,0.0699,0,0.0769,-9.372,1,0.0369,165.617,4,0.681
Please Don't Stop,Keyshia Cole,R&B; Pop/Rock,Q1,0.103,0.632,0.881,0.0,8,0.262,-3.641,0,0.0773,120.741,4,0.438
Home in That Rock,Dan Zanes,Children's; New Age; Religious,Q4,0.55,0.606,0.628,0.00442,2,0.12,-8.672,1,0.0329,78.274,4,0.898
On Nature,Matisyahu,Reggae; International,Q4,0.0296,0.774,0.82,0.00012,2,0.147,-5.774,1,0.0851,97.008,4,0.652
Snuff,Slayer,Pop/Rock,Q2,9.01e-06,0.164,0.998,0.218,8,0.307,-1.823,1,0.132,179.605,4,0.228
For Your Entertainment,Adam Lambert,Pop/Rock; Stage & Screen,Q1,0.0411,0.654,0.872,0.0,1,0.0808,-3.824,1,0.11,130.023,4,0.612
Let off Supm,Gregory Isaacs,Reggae,Q3,0.105,0.835,0.364,0.000405,0,0.102,-11.674,0,0.0444,139.791,4,0.87
What a Night; What a Moon; What a Girl,Billie Holiday,Blues; Jazz; Vocal,Q1,0.009,0.726,0.787,0.0,4,0.0596,-2.494,1,0.0737,124.99,4,0.888
Free Speech for the Dumb,Discharge,Pop/Rock,Q2,1.13e-05,0.318,0.917,0.0188,8,0.0342,-3.251,0,0.0709,124.476,4,0.214
El Patron,Brujeria,Pop/Rock,Q2,0.041,0.351,0.861,0.0,4,0.735,-10.056,0,0.117,103.262,4,0.117
Turn on Your Love Light,"Bobby ""Blue"" Bland",R&B; Blues,Q1,0.0659,0.626,0.741,3.71e-05,5,0.593,-9.117,1,0.0342,106.15,4,0.817
My Sweet Prince,Placebo,Pop/Rock,Q3,0.516,0.444,0.226,0.0386,10,0.1,-16.118,1,0.0353,121.783,3,0.0426
Shake It Well,The Dramatics,R&B; Blues,Q1,0.171,0.651,0.7,0.000134,6,0.0572,-12.104,1,0.275,178.005,4,0.948
Soy,Gipsy Kings,International; Jazz,Q1,0.325,0.647,0.94,0.000173,1,0.186,-8.264,0,0.0814,114.6,4,0.904
Mi Vida,Gipsy Kings,International; Jazz,Q1,0.333,0.752,0.794,8.31e-06,8,0.0671,-12.723,0,0.0508,91.938,4,0.707
Maimed and Slaughtered,Discharge,Pop/Rock,Q2,3.8e-06,0.326,0.98,0.0132,1,0.31,-3.169,0,0.0906,155.764,4,0.533
Oye Como Va,Tito Puente,Jazz; Latin,Q1,0.747,0.658,0.738,0.00605,7,0.0624,-6.717,1,0.0315,123.261,4,0.963
Sling It to Tha Back,Juvenile,Rap,Q3,0.0108,0.738,0.658,0.000305,6,0.167,-10.383,1,0.15,85.095,4,0.758
Info Kill II,Company Flow,Rap,Q2,0.139,0.569,0.748,0.0,6,0.157,-8.276,1,0.45,83.763,4,0.614
Jack Rabbit,Elton John,Pop/Rock; Country; Electronic,Q1,0.114,0.703,0.762,0.000262,7,0.104,-10.25,1,0.0278,107.844,4,0.966
Broke Willies,Onyx,Rap,Q2,0.00166,0.774,0.589,0.0,1,0.108,-11.369,0,0.25,93.122,4,0.76
Night Wind,David Arkenstone,New Age,Q4,0.547,0.24,0.278,0.891,4,0.126,-15.488,0,0.0357,140.151,3,0.22
Mujer de Arena,Oscar D'León,Latin,Q1,0.649,0.822,0.633,0.0,7,0.0912,-8.67,0,0.041,100.155,4,0.951
Lullaby of Birdland,George Shearing,Jazz,Q4,0.747,0.657,0.263,8.6e-06,6,0.171,-19.36,1,0.032,97.027,4,0.893
Push 'Em Off,Tear Da Club Up Thugs,Rap,Q2,0.0329,0.744,0.878,4.2e-05,11,0.063,-4.594,0,0.254,189.965,4,0.544
As Long as I Live,Lena Horne,Vocal; Jazz; Stage & Screen,Q4,0.77,0.425,0.238,8.36e-05,6,0.84,-18.872,1,0.173,82.887,1,0.258
In a Sentimental Mood,Kenny G,Easy Listening; Jazz; Pop/Rock,Q4,0.0841,0.357,0.439,0.502,2,0.326,-9.215,0,0.0321,127.093,4,0.16
Prologue,Loreena McKennitt,International; New Age,Q4,0.734,0.255,0.199,0.221,10,0.103,-17.679,1,0.0335,167.26,4,0.04
Borderlands,David Arkenstone,New Age; Stage & Screen,Q4,0.462,0.496,0.232,0.85,1,0.0755,-18.566,0,0.0277,101.942,4,0.101
Last Night Blues,Lightnin' Hopkins,Blues,Q3,0.618,0.468,0.077,0.000354,4,0.081,-22.132,1,0.0448,179.377,3,0.221
Run; Children; Run,Mike Seeger,Children's; Folk; International; Country,Q4,0.219,0.374,0.568,0.00219,1,0.513,-3.825,0,0.109,84.733,4,0.111
Hear Nothing See Nothing Say Nothing,Discharge,Pop/Rock,Q2,2.92e-06,0.297,0.961,0.75,1,0.339,-4.473,1,0.0586,77.946,4,0.0877
Mais Que Nada,Sergio Mendes,International; Latin; Pop/Rock; Easy Listening,Q1,0.524,0.637,0.493,1.52e-05,0,0.136,-13.094,0,0.0482,88.796,4,0.932
Mysterious Encounter,Kitaro,Avant-Garde; Electronic; New Age,Q4,0.59,0.178,0.196,0.9,6,0.105,-14.641,0,0.0353,105.148,4,0.0323
Here Comes That Feeling,Squeeze,Pop/Rock,Q2,0.021,0.593,0.641,0.555,4,0.566,-12.798,1,0.0461,134.497,4,0.254
Moondance,Kitaro,Avant-Garde; Electronic; New Age,Q4,0.603,0.382,0.25,0.153,6,0.669,-10.69,0,0.0313,101.989,3,0.157
The Good; the Bad; and the Ugly (Titles),Accademia di Santa Cecilia Orchestra,Easy Listening; Stage & Screen,Q4,0.82,0.434,0.215,0.0,10,0.456,-8.478,1,0.0417,118.152,4,0.187
Ask Me,Sugar Pie DeSanto,Blues; R&B,Q3,0.715,0.245,0.406,0.0,0,0.286,-6.662,1,0.0333,180.061,3,0.513
In the Shadows,Cabaret Voltaire,Avant-Garde; Pop/Rock,Q3,0.0691,0.658,0.863,0.383,10,0.0681,-10.836,0,0.133,177.12,4,0.521
Watch Yo Back,Trina,Rap,Q2,0.00353,0.733,0.944,0.0118,1,0.294,-6.385,1,0.141,150.028,4,0.944
Parchman Farm Blues,Claude King,Country,Q3,0.803,0.664,0.347,0.00102,10,0.103,-13.834,1,0.143,107.732,3,0.517
Composition 101,Anthony Braxton,Jazz,Q3,0.988,0.407,0.0844,0.853,0,0.147,-22.202,1,0.0427,79.341,4,0.403
Por Fin,Los Dandy's,International; Latin,Q4,0.893,0.616,0.41,7.22e-05,6,0.381,-8.4,1,0.0339,98.042,4,0.588
The Bridge,Quintron,Pop/Rock,Q2,0.11,0.451,0.733,0.886,10,0.099,-8.823,0,0.137,98.602,3,0.752
Narcoleptic,Placebo,Pop/Rock,Q3,0.134,0.513,0.389,0.00041,8,0.106,-10.416,1,0.0265,98.764,4,0.166
Cause of Death,Obituary,Pop/Rock,Q2,2.41e-05,0.284,0.978,0.00754,9,0.121,-7.931,0,0.137,140.758,4,0.0625
Ready to Rumble,Mystikal,Rap,Q2,0.014,0.745,0.8,0.000791,4,0.0766,-5.272,0,0.32,88.903,4,0.577
Earth by Invitation Only,Crucifucks,Pop/Rock,Q2,0.00247,0.388,0.935,0.287,4,0.0803,-7.256,0,0.0566,86.792,4,0.464
Jah Pickney -- R.A.R.,Steel Pulse,Electronic; International; Reggae,Q4,0.103,0.717,0.421,0.0,0,0.0472,-15.234,1,0.234,137.038,4,0.618
Ku Klux Klan,Steel Pulse,Reggae,Q4,0.0143,0.737,0.504,0.0,9,0.0543,-12.201,0,0.238,130.56,4,0.825
Cold; Cold Feeling,Albert Collins,Blues,Q3,6.06e-05,0.451,0.815,0.0,2,0.27,-5.55,0,0.0368,147.974,4,0.618
Abraham; Martin and John,The Belafonte Folk Singers,Folk; Vocal,Q3,0.0093,0.789,0.695,0.0,10,0.284,-4.181,0,0.0368,152.851,4,0.408
Virgen de Mi Soledad,Juan Valentín,Latin,Q3,0.522,0.518,0.278,2.34e-05,0,0.0789,-14.738,1,0.0342,110.884,4,0.535
Fight to Forget,Painstake,Pop/Rock,Q2,1.1e-05,0.43,0.812,0.778,11,0.172,-12.965,1,0.0601,107.605,4,0.22
Hotcha Cornia (Hotcha Chornya- Russian Folk Songs),Spike Jones,Comedy/Spoken; Jazz,Q1,0.967,0.667,0.466,0.13,2,0.0659,-12.376,0,0.112,152.902,4,0.64
I Wanna Go Back to West Virginia,Spike Jones,Comedy/Spoken; Jazz,Q1,0.982,0.834,0.415,0.000708,7,0.0768,-10.104,1,0.0704,133.648,4,0.961
Cold Days Of February,Robin Williamson,International,Q3,0.915,0.642,0.0254,0.0,3,0.142,-22.058,1,0.466,78.74,5,0.141
Si Nos Dejan,José Alfredo Jiménez,Latin,Q3,0.644,0.578,0.229,0.000149,0,0.186,-14.992,1,0.0308,108.693,4,0.591
Love Me Tonight,Tom Jones,Electronic; Pop/Rock; Vocal,Q1,0.173,0.499,0.759,0.0,7,0.477,-8.766,0,0.0464,105.431,4,0.791
Sunflower,Glen Campbell,Country; Pop/Rock,Q1,0.115,0.755,0.786,0.00161,7,0.183,-9.451,1,0.0305,129.381,4,0.979
Blue Heat,Cabaret Voltaire,Avant-Garde; Pop/Rock,Q3,0.0145,0.739,0.779,0.794,10,0.0969,-8.214,1,0.0422,126.807,4,0.802
Trouble in Mind,Asleep at the Wheel,Country,Q4,0.762,0.615,0.452,0.00569,7,0.241,-9.216,1,0.0306,95.724,4,0.765
Abominable Snowman in the Market,The Modern Lovers,Pop/Rock,Q1,0.684,0.733,0.633,6.42e-05,0,0.0763,-8.354,1,0.288,98.497,4,0.881
I Need You Here,Gary Burton,Jazz,Q4,0.923,0.261,0.114,0.84,5,0.078,-21.892,0,0.0407,178.938,3,0.0396
Baby You Don't Want Me,Furry Lewis,Blues,Q3,0.803,0.411,0.153,8.22e-05,5,0.0702,-18.69,1,0.0365,140.165,4,0.178
Always Returning,Brian Eno,Avant-Garde; Electronic; Pop/Rock,Q4,0.687,0.299,0.114,0.859,10,0.0764,-24.355,1,0.042,70.729,4,0.131
St. Judy's Comet,Paul Simon,Pop/Rock; Children's,Q4,0.457,0.619,0.344,0.000352,9,0.0929,-18.956,1,0.0391,96.265,4,0.713
Johnnie Cope/Atholl Highlanders,The Tannahill Weavers,International,Q1,0.52,0.247,0.815,1.04e-06,3,0.122,-10.971,1,0.0799,127.711,4,0.746
Dreams,Fleetwood Mac,Pop/Rock,Q4,0.0644,0.828,0.492,0.00428,0,0.128,-9.744,1,0.0276,120.151,4,0.789
Hark! The Herald Angels Sing,Neil Diamond,Holiday; Pop/Rock,Q1,0.7,0.403,0.497,0.0,5,0.519,-5.149,1,0.0296,105.664,4,0.362
Stubborn Kind of Fellow,Marvin Gaye,R&B,Q1,0.311,0.606,0.694,0.0,1,0.12,-8.665,1,0.0468,108.796,4,0.933
Sickness,Obituary,Pop/Rock,Q2,8.67e-05,0.301,0.993,0.00201,11,0.104,-4.891,1,0.161,102.973,4,0.126
Sweet Papa Di,Dion,Pop/Rock; R&B,Q3,0.821,0.676,0.41,4.01e-06,2,0.182,-11.737,0,0.0721,106.561,4,0.834
Crime Story,MC Hammer,Rap; R&B,Q2,0.000441,0.869,0.478,0.00272,1,0.256,-12.634,1,0.057,118.142,4,0.192
You Want This,Janet Jackson,Pop/Rock; R&B; Electronic,Q1,0.113,0.844,0.843,0.0439,10,0.1,-5.763,0,0.0551,111.893,4,0.647
Gota Let Your Nuts Hang,Geto Boys,Rap,Q2,0.517,0.783,0.799,0.00027,1,0.368,-4.629,1,0.387,72.896,4,0.699
Just Some Bar in the French Quarters,Tony Rice,Country; Folk,Q3,0.56,0.542,0.144,0.271,4,0.0985,-19.425,1,0.0329,130.183,4,0.271
So Long,Jim Brickman,New Age,Q4,0.991,0.433,0.0886,0.906,7,0.103,-19.427,1,0.0561,128.969,4,0.0963
Cool Drink of Water,Brooks & Dunn,Country,Q1,0.11,0.674,0.911,8e-06,2,0.0637,-9.24,0,0.0291,112.221,4,0.879
Another Victim,Faith,Pop/Rock,Q2,0.0198,0.462,0.905,0.897,11,0.422,-9.901,0,0.102,98.893,4,0.806
Time Flies,Subhumans,Pop/Rock,Q2,0.00152,0.498,0.973,0.0,2,0.268,-5.345,1,0.107,115.748,4,0.353
Ding-Dong! The Witch Is Dead,Bud Shank,Jazz; Stage & Screen; Vocal,Q4,0.456,0.433,0.34,0.383,0,0.0986,-9.727,1,0.0494,191.751,3,0.253
Chosen Race,Samael,Pop/Rock,Q2,1.23e-05,0.402,0.959,0.175,3,0.305,-6.67,1,0.0677,126.285,4,0.114
Busy Port,Les Baxter,Easy Listening,Q1,0.825,0.402,0.214,0.479,2,0.346,-17.631,1,0.0381,153.57,4,0.544
Marble Halls,Enya,International; New Age; Pop/Rock,Q4,0.983,0.251,0.0841,0.0248,10,0.107,-22.231,1,0.0572,95.417,3,0.151
Worrying My Mind,Big Bill Broonzy,Blues,Q3,0.968,0.702,0.188,0.000378,3,0.106,-13.01,1,0.0452,94.692,4,0.422
Una Rumba Por Aqui,Gipsy Kings,International; Jazz,Q1,0.546,0.705,0.876,0.000225,6,0.0609,-10.424,1,0.0671,120.486,4,0.677
Europe Endless,Kraftwerk,Avant-Garde; Pop/Rock,Q4,0.0408,0.77,0.464,0.649,11,0.199,-11.391,1,0.0571,110.387,4,0.419
False Curl Girl,Mad Professor,Reggae,Q4,0.00538,0.672,0.373,0.777,1,0.36,-11.455,1,0.112,82.178,4,0.455
Melao de Caña,Celia Cruz,Latin,Q1,0.635,0.629,0.559,0.0226,0,0.0819,-10.124,0,0.0374,140.501,4,0.951
The Crawl,Placebo,Pop/Rock,Q3,0.737,0.674,0.356,0.473,3,0.115,-14.694,0,0.0306,130.737,4,0.165
Open Letter,Cro-Mags,Pop/Rock,Q2,0.00019,0.517,0.992,2.17e-05,6,0.0934,-4.023,0,0.0763,107.803,4,0.599
Amrita,Steven Halpern,New Age; Comedy/Spoken; Electronic,Q4,0.984,0.133,0.0882,0.916,0,0.0939,-23.395,1,0.0417,181.083,3,0.0336
I Love You More Today,Conway Twitty,Country,Q4,0.364,0.294,0.459,7.68e-06,9,0.0808,-9.515,1,0.038,200.569,4,0.476
Donde Estabas Tu,Tito Puente,Latin; Jazz,Q1,0.791,0.787,0.916,0.744,5,0.204,-6.48,0,0.0753,136.927,4,0.928
No Coman Cuento,Joe Cuba,Latin,Q1,0.695,0.558,0.184,0.0,2,0.181,-27.409,1,0.037,99.816,4,0.96
Desert Rain,Iced Earth,Pop/Rock,Q2,0.00175,0.297,0.814,0.281,8,0.104,-15.095,1,0.35,143.722,4,0.162
I Guess I've Come to Live Here in Your Eyes,Willie Nelson,Pop/Rock; Reggae; Country,Q4,0.946,0.509,0.0788,0.00135,0,0.104,-17.521,1,0.0395,86.06,4,0.352
Cool; Cool Water (Instrumental Insert),The Beach Boys,Pop/Rock,Q4,0.902,0.565,0.203,0.0,2,0.115,-13.656,1,0.0332,93.213,4,0.408
Sleep; Baby; Sleep,Lefty Frizzell,Children's; Country,Q4,0.917,0.0,0.00832,1.0,7,0.111,-26.712,1,0.0,0.0,0,0.0
Get Up While You Can,Atari Teenage Riot,Electronic,Q2,0.028,0.264,0.995,0.868,5,0.402,-2.293,1,0.0796,104.242,4,0.0238
Blood on the Motorway,DJ Shadow,Electronic; Rap,Q4,0.0872,0.348,0.57,0.625,9,0.0927,-11.02,0,0.0393,115.833,4,0.0671
My Home Is a Prison,Lonesome Sundown,Pop/Rock; R&B; Blues,Q3,0.394,0.245,0.531,1.53e-05,9,0.266,-11.252,1,0.0424,66.936,4,0.503
Way Beyond,Morcheeba,Electronic; Pop/Rock,Q4,0.0528,0.553,0.669,0.0885,7,0.168,-9.018,1,0.0282,80.995,4,0.277
