Nome da Faixa,Cantor ou Compositor,Gênero,Quadrante,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
I Saw Her Standing There,Paul McCartney,Pop/Rock,Q1,0.0682,0.305,0.97,2.38e-06,4,0.982,-3.107,1,0.0881,158.172,4,0.835
Sweet Georgie Fame,Blossom Dearie,Jazz; Vocal; Easy Listening,Q4,0.913,0.53,0.157,1.08e-05,2,0.535,-19.734,1,0.157,121.438,3,0.541
Some People,Ethel Merman,Stage & Screen,Q1,0.147,0.886,0.829,0.0155,5,0.0872,-6.954,1,0.0725,123.796,4,0.791
Black; Brown and White,Big Bill Broonzy,Blues,Q4,0.011,0.31,0.7,0.00965,9,0.0828,-5.678,1,0.047,188.386,4,0.763
The Heart and the Bones,Peter Brötzmann,Jazz,Q2,0.664,0.43,0.593,0.465,1,0.768,-17.25,0,0.0731,118.637,4,0.339
Steppin' Out With My Baby,Fred Astaire,Stage & Screen; Vocal,Q1,0.967,0.737,0.208,0.336,0,0.106,-16.975,0,0.238,90.297,4,0.709
Shut Up,The Black Eyed Peas,Rap; Pop/Rock,Q1,0.34,0.745,0.498,0.0,2,0.0993,-10.989,0,0.247,112.976,4,0.494
Every Beat of My Heart,Gladys Knight & the Pips,R&B,Q4,0.812,0.338,0.362,2.52e-05,0,0.229,-13.103,1,0.0323,173.985,3,0.425
Harbor Lights,Billy Ward,R&B,Q3,0.952,0.319,0.392,0.00115,2,0.158,-8.626,1,0.0567,176.839,3,0.317
Peer Pressure,Corrupted Morals,Pop/Rock,Q2,0.0581,0.405,0.906,0.0,4,0.359,-3.718,1,0.0423,126.868,5,0.546
Homenaje a Ellington,Chucho Valdés,Latin; Vocal,Q4,0.439,0.565,0.656,0.875,0,0.129,-10.855,1,0.0582,112.435,4,0.642
The Christmas Song,David Banner,Rap,Q2,0.0137,0.614,0.75,0.0,7,0.727,-5.234,1,0.228,174.138,4,0.411
Almeno Stavolta,Nek,Pop/Rock,Q1,0.00355,0.636,0.76,2.68e-06,2,0.123,-6.701,0,0.0287,149.924,4,0.536
Silent Night,The Louvin Brothers,Country; Religious,Q4,0.947,0.473,0.19,0.0,0,0.191,-11.765,1,0.0259,93.614,3,0.265
Gospel Way,The Louvin Brothers,Country,Q4,0.902,0.707,0.402,5e-05,2,0.342,-13.006,1,0.0316,126.498,4,0.783
Naughty Girl,Beyoncé,Pop/Rock; R&B,Q1,0.237,0.588,0.461,1.54e-05,6,0.0913,-8.686,0,0.161,200.053,4,0.659
Guys and Dolls,Sammy Davis; Jr.,Jazz; Vocal; Stage & Screen; Pop/Rock,Q1,0.126,0.503,0.279,0.000864,0,0.105,-16.074,1,0.0354,107.574,4,0.766
Scarborough Fair,Sergio Mendes,Pop/Rock; Latin; International,Q4,0.155,0.683,0.378,0.0162,0,0.0701,-17.45,0,0.0266,110.408,4,0.846
You Always Hur the One You Love,The Mills Brothers,Vocal,Q3,0.939,0.516,0.081,2.48e-05,7,0.367,-18.345,0,0.0602,138.69,4,0.352
Lord Have Mercy,Beanie Sigel,Rap,Q4,0.019,0.614,0.563,0.0,5,0.168,-8.418,0,0.0752,84.925,4,0.255
Warlord,The Penetrators,Pop/Rock,Q2,0.0223,0.642,0.985,4.15e-05,8,0.663,-3.926,0,0.0831,127.225,4,0.807
Sitting in Limbo,Willie Nelson,Pop/Rock; Reggae; Country,Q4,0.57,0.691,0.655,0.00213,5,0.203,-7.362,1,0.0446,168.036,4,0.963
Peace and Love Dub,Augustus Pablo,Reggae,Q4,0.0755,0.68,0.498,0.893,8,0.0739,-10.564,1,0.103,134.058,4,0.291
Wait a Minute,The Pussycat Dolls,Electronic; Pop/Rock; R&B,Q1,0.0496,0.867,0.854,2.73e-05,8,0.323,-5.211,1,0.0478,136.446,4,0.972
Heart of Mine,Will Downing,R&B,Q4,0.0493,0.665,0.425,6.07e-05,10,0.121,-10.557,0,0.0266,93.995,4,0.519
Take This Ring,Toni Braxton,Pop/Rock; R&B,Q1,0.00551,0.469,0.961,6.4e-05,1,0.264,-4.37,1,0.317,189.144,4,0.513
Trill Recognize Trill,Bun B,Rap,Q2,0.0053,0.445,0.915,0.0,11,0.325,-2.628,0,0.418,71.023,4,0.445
I Didn't Mean to Turn You On,Robert Palmer,Pop/Rock; R&B,Q1,0.0937,0.68,0.485,0.696,5,0.255,-15.589,0,0.053,120.657,4,0.967
Blue Christmas,The Jordanaires,Holiday; Pop/Rock,Q3,0.726,0.617,0.483,0.000312,4,0.107,-8.942,1,0.026,101.058,4,0.633
Heartz of Men,2Pac,Rap,Q2,0.00288,0.777,0.77,0.00019,6,0.334,-6.081,1,0.156,92.527,4,0.576
America Loves Gangsters,CunninLynguists,Rap,Q3,0.617,0.63,0.43,0.12,1,0.348,-8.36,1,0.128,92.938,4,0.0745
Kill or Be Killed,B.G.,Rap,Q3,0.291,0.698,0.754,0.0,10,0.162,-4.658,1,0.247,76.028,4,0.301
Sacramento & Polk,Alejandro Escovedo,Pop/Rock; Country,Q2,0.893,0.466,0.176,0.908,10,0.114,-19.604,1,0.0415,108.965,4,0.0906
Leader,Sick of It All,Pop/Rock,Q2,1.46e-05,0.368,0.996,0.37,7,0.173,-3.41,0,0.178,119.242,4,0.17
Gangree,Ministry,Pop/Rock,Q2,0.000268,0.441,0.796,0.132,8,0.0871,-5.855,0,0.0522,176.028,3,0.75
Candela,Don Omar,Latin; Rap; Electronic; International; Pop/Rock,Q2,0.106,0.686,0.919,0.000499,8,0.335,-2.453,0,0.0829,160.052,4,0.813
Toucher l'Instant,Grand Corps Malade,Rap,Q3,0.746,0.494,0.577,0.0,5,0.108,-11.218,0,0.145,144.664,3,0.476
Too Darn Hot,Ella Fitzgerald,Jazz; Vocal,Q1,0.435,0.693,0.217,0.0,7,0.0707,-13.72,0,0.0593,80.577,4,0.822
O Christmas Tree (O Tannenbaum),The Chipmunks,Comedy/Spoken; Holiday,Q4,0.828,0.296,0.226,0.0337,3,0.105,-10.066,1,0.0293,73.938,4,0.3
So Simple,Stacie Orrico,Pop/Rock; Religious,Q1,0.189,0.644,0.758,0.0,1,0.618,-3.794,1,0.0625,91.873,4,0.863
Billie's Blues,Holiday & the Adventure Pop Collective,Jazz; Vocal,Q3,0.975,0.55,0.447,0.806,1,0.82,-12.403,1,0.0773,80.978,4,0.484
Nie Wieder,Sido,Rap,Q3,0.0442,0.782,0.774,0.0,4,0.297,-4.325,1,0.34,90.018,4,0.364
'A' Bomb in Wardour Street,The Jam,Pop/Rock,Q2,0.00901,0.639,0.781,0.000107,4,0.151,-10.676,1,0.0545,154.4,4,0.881
Mama of Mine,2XL,Rap,Q3,0.146,0.703,0.736,0.0,6,0.101,-6.062,1,0.199,147.348,4,0.541
Rivers of Babylon,Don Carlos,Reggae,Q3,0.167,0.787,0.346,0.000147,11,0.0815,-16.845,0,0.0533,97.871,4,0.71
I'm So Lonesome; I Could Cry,Hank Williams,Country,Q3,0.202,0.39,0.357,0.0,1,0.105,-6.338,0,0.0272,99.489,3,0.167
Love It When You Call,The Feeling,Pop/Rock,Q1,0.00754,0.668,0.759,0.0,0,0.0667,-7.352,1,0.0276,117.007,4,0.961
Duas Lágrimas de Orvalho,Mariza,International; Folk,Q3,0.936,0.606,0.0668,1.31e-05,0,0.103,-11.207,0,0.0663,84.065,4,0.326
Brazil,The Coasters,Pop/Rock; R&B,Q1,0.73,0.639,0.428,2.04e-06,5,0.114,-11.583,0,0.0445,146.38,4,0.797
A Woman Just Like You,Curtis Stigers,Pop/Rock; Jazz; Easy Listening,Q4,0.652,0.861,0.253,0.00618,1,0.1,-16.566,1,0.0424,106.219,4,0.625
Not Counting You,Garth Brooks,Country,Q1,0.00494,0.527,0.411,1.51e-06,4,0.141,-17.037,1,0.0517,161.014,4,0.943
Pussyole (Old Skool),Dizzee Rascal,Electronic,Q2,0.0579,0.732,0.812,0.0,9,0.31,-4.056,1,0.132,113.043,4,0.76
Murkin Season,Plies,Rap,Q2,0.00888,0.679,0.73,0.0,9,0.221,-5.116,1,0.165,80.997,4,0.553
Silent Night,Paul Potts,Classical; Pop/Rock,Q4,0.923,0.297,0.211,0.0,7,0.122,-10.704,1,0.0337,145.362,5,0.207
O Holy Night,Paul Potts,Classical; Pop/Rock,Q4,0.814,0.207,0.398,0.00719,3,0.111,-6.168,1,0.0322,71.932,3,0.12
Santa Baby,Boney James,Easy Listening; Jazz; New Age; Holiday,Q4,0.718,0.592,0.375,2.35e-05,1,0.0962,-10.127,1,0.0801,71.818,4,0.404
Loco de Amor,Hombres G,Latin; Pop/Rock,Q1,0.0587,0.558,0.723,9.25e-05,0,0.0727,-5.102,1,0.0353,163.783,4,0.807
Somethings,Gang Green,Pop/Rock,Q2,0.000241,0.169,0.881,0.0853,4,0.1,-3.553,0,0.0607,170.987,4,0.703
How We Feel,Chingy,Rap,Q4,0.0194,0.729,0.801,0.0,7,0.154,-5.875,0,0.275,163.162,4,0.63
Liebe Will Alles,Udo Jürgens,Vocal; Pop/Rock,Q1,0.0238,0.575,0.921,7.93e-06,1,0.147,-4.538,1,0.0518,135.053,4,0.383
See You Again,Miley Cyrus,Pop/Rock; Stage & Screen,Q1,0.015,0.692,0.911,7.71e-05,9,0.112,-5.098,0,0.177,138.975,4,0.8
Sex Education,Lloyd,R&B,Q1,0.0337,0.664,0.553,8.64e-06,2,0.0917,-6.355,1,0.0445,72.527,4,0.452
La Vie Qui Va,Charles Trénet,Pop/Rock; Vocal,Q1,0.812,0.662,0.41,0.0,0,0.176,-10.41,1,0.0593,81.645,4,0.766
Skeleton,Lila Downs,Latin; Pop/Rock; International,Q1,0.273,0.634,0.733,1.68e-05,9,0.332,-6.095,0,0.0691,114.025,4,0.556
Undo It,Carrie Underwood,Country; Pop/Rock,Q1,0.11,0.476,0.84,0.0,2,0.046,-2.259,1,0.058,156.254,4,0.648
Why'd You Do It; Baby?,Louis Jordan,Jazz,Q3,0.586,0.644,0.549,9.88e-05,5,0.328,-6.642,1,0.0282,80.577,4,0.478
Ugly,Sevendust,Pop/Rock,Q2,0.000359,0.216,0.934,0.00827,6,0.14,-5.302,1,0.0848,99.03,4,0.201
Feelings,Il Divo,Classical; Easy Listening; Pop/Rock; Vocal,Q4,0.445,0.357,0.563,2.1e-06,6,0.103,-8.173,0,0.0414,73.002,4,0.15
St. Louis Blues,Benny Carter,Jazz; Blues,Q3,0.879,0.431,0.185,0.451,5,0.694,-17.752,1,0.0439,135.109,4,0.325
I Believe,Third Day,Religious,Q1,0.013,0.325,0.821,0.0,9,0.169,-5.39,1,0.0411,187.985,4,0.605
Me and Jesus,Tom T. Hall,Country; Pop/Rock,Q4,0.836,0.55,0.508,3.69e-05,7,0.397,-14.588,1,0.0327,150.975,4,0.896
She Suits Me to a Tee,Buddy Guy,Blues,Q1,0.612,0.651,0.591,5.72e-06,5,0.18,-12.255,1,0.0394,111.075,4,0.946
Janie Is a Nazi,Sloppy Seconds,Pop/Rock,Q2,0.0295,0.528,0.965,5.06e-06,3,0.108,-6.442,1,0.0631,151.65,4,0.889
Faking Love,T.G. Sheppard,Country,Q3,0.496,0.532,0.366,0.000275,4,0.345,-12.665,0,0.0376,75.346,4,0.211
Lead Song,Negative Approach,Pop/Rock,Q2,0.0327,0.265,0.902,0.876,9,0.378,-10.619,0,0.155,158.561,4,0.683
All We Got,Michael McDonald,Electronic,Q1,0.101,0.783,0.866,0.00106,5,0.051,-9.95,0,0.0452,120.554,4,0.876
Open up the Back Door,Hank Ballard,Pop/Rock; R&B,Q1,0.81,0.598,0.889,0.00532,4,0.282,-4.046,1,0.0666,104.385,4,0.457
Bell Tower,Kitaro,New Age,Q4,0.974,0.195,0.287,0.937,9,0.0882,-12.862,1,0.0489,191.859,3,0.254
Tico-Tico,Xavier Cugat & His Orchestra,Latin; Easy Listening; Jazz,Q1,0.782,0.606,0.549,0.441,9,0.342,-11.6,0,0.0429,96.881,4,0.966
Que Rico el Mambo,Pérez Prado,Jazz; Latin,Q1,0.73,0.722,0.626,0.149,5,0.0847,-9.513,1,0.114,106.917,4,0.666
Night and Day,Ella Fitzgerald,Jazz; Vocal,Q4,0.742,0.442,0.202,0.0,8,0.0641,-14.624,1,0.0501,116.909,4,0.406
Peak Performance,Steven Halpern,New Age; Comedy/Spoken; International; Electronic,Q4,0.962,0.239,0.107,0.871,0,0.118,-25.725,1,0.0454,76.974,4,0.153
Nailed to the Gun,Fight,Electronic; Pop/Rock,Q2,0.00217,0.469,0.984,0.282,2,0.327,-3.645,1,0.0856,91.748,4,0.231
Mind Seduction,Disharmonic Orchestra,Pop/Rock; Electronic,Q2,8.02e-05,0.107,0.806,0.727,10,0.107,-13.218,0,0.0769,170.92,4,0.256
Cranked up Really High,Slaughter & the Dogs,Pop/Rock,Q2,4.83e-05,0.141,0.759,0.0244,11,0.301,-8.299,0,0.0473,182.171,4,0.764
Invitation,Jaco Pastorius,Jazz; Vocal,Q1,0.00229,0.304,0.568,0.678,11,0.673,-15.024,0,0.0862,169.227,4,0.372
Love of My Life,Jim Brickman,New Age,Q4,0.953,0.362,0.219,0.768,0,0.0961,-11.735,1,0.0298,133.468,4,0.126
Lady Soul,The Temptations,R&B,Q4,0.156,0.84,0.443,0.000235,1,0.059,-11.655,1,0.0393,114.008,4,0.906
Early Mornin',Britney Spears,Pop/Rock,Q1,0.014,0.719,0.67,0.0579,4,0.0968,-5.206,0,0.0829,94.965,4,0.678
Eastern Standard Time,The Skatalites,Reggae,Q1,0.618,0.816,0.523,0.411,0,0.0681,-9.937,1,0.0586,125.723,4,0.949
I Can't Give You Anything But Love,Oscar Peterson,Jazz; Vocal,Q4,0.942,0.438,0.224,0.935,6,0.102,-19.86,1,0.066,203.771,4,0.542
Eternally,Steven Halpern,New Age; Comedy/Spoken; Electronic,Q4,0.984,0.113,0.0556,0.9,0,0.113,-24.476,1,0.0391,69.813,3,0.0354
Don't Rain on My Parade,Barbra Streisand,Stage & Screen; Vocal; Pop/Rock,Q1,0.817,0.456,0.675,0.0,11,0.974,-7.84,0,0.337,119.706,4,0.321
Tore Up,Cro-Mags,Pop/Rock,Q2,1.26e-05,0.334,0.998,2.12e-05,6,0.433,-3.103,0,0.254,183.757,4,0.354
Simple Man; Simple Dream,Linda Ronstadt,Country; Pop/Rock,Q3,0.0366,0.422,0.752,0.000119,6,0.129,-8.682,1,0.0449,120.471,4,0.403
In the Beginning,Kitaro,Avant-Garde; Electronic; New Age,Q4,0.532,0.316,0.221,0.675,4,0.0965,-14.537,1,0.035,82.856,4,0.0374
Reptile,Dimmu Borgir,Pop/Rock,Q2,0.000134,0.171,0.922,0.0161,7,0.125,-5.986,0,0.087,122.672,3,0.0991
More Than a Girl,Lyfe Jennings,R&B,Q4,0.169,0.493,0.774,0.0,6,0.34,-7.16,0,0.376,82.984,4,0.643
Hercules,Elton John,Pop/Rock,Q1,0.0797,0.562,0.783,0.00174,0,0.083,-7.377,1,0.0322,147.714,4,0.73
Under the Canopy,David Arkenstone,New Age; Stage & Screen,Q4,0.412,0.281,0.651,0.917,2,0.119,-13.668,0,0.0418,82.019,4,0.487
Nobody Gets Out Alive!,Alec Empire,Electronic,Q2,0.000103,0.364,0.952,0.801,10,0.366,-9.203,0,0.0831,176.99,4,0.2
Omotepe,Joe Strummer,Reggae,Q4,0.545,0.766,0.37,0.718,7,0.0578,-16.898,1,0.0557,98.426,4,0.658
Get Raped,Eater,Pop/Rock,Q2,0.00378,0.371,0.885,5.42e-06,0,0.122,-6.792,1,0.0615,99.446,4,0.217
Untrue Blues,Blind Boy Fuller,Blues,Q3,0.96,0.599,0.238,0.00921,10,0.118,-16.497,1,0.0757,81.125,4,0.702
El Temperamento,Marquess,Pop/Rock; Latin,Q1,0.0791,0.736,0.679,0.0,2,0.18,-7.08,1,0.0513,102.012,4,0.94
Creation,Peter Tosh,Reggae,Q4,0.149,0.188,0.682,0.0116,0,0.114,-10.68,1,0.159,80.495,4,0.31
Love Is...,Common,Rap,Q4,0.313,0.749,0.383,0.0,3,0.311,-12.722,0,0.394,90.13,4,0.698
Sand and Foam,Donovan,Folk; Pop/Rock,Q4,0.536,0.578,0.231,5.61e-05,3,0.106,-15.93,0,0.0391,78.349,4,0.124
This Is Madness,The Last Poets,Comedy/Spoken; Rap,Q2,0.74,0.581,0.554,0.0,10,0.0836,-14.361,1,0.361,136.592,4,0.884
So Fucked Up,Sloppy Seconds,Pop/Rock,Q2,0.00108,0.169,0.875,0.0215,0,0.627,-5.341,0,0.0654,199.603,4,0.73
Forgotten,Gorilla Biscuits,Pop/Rock,Q2,0.000237,0.332,0.981,0.000131,2,0.112,-4.749,1,0.139,107.24,4,0.101
Poor Boy Blues,Doc Watson,Country; Blues; Folk; International,Q4,0.762,0.541,0.505,0.00106,2,0.697,-10.776,1,0.0349,112.846,4,0.863
Mississippi Blues No. 2,Stefan Grossman,Blues; International; Jazz,Q4,0.911,0.604,0.215,0.916,9,0.0981,-13.423,1,0.0476,82.827,4,0.554
Danke Schoen,Wayne Newton,Pop/Rock; Vocal,Q4,0.803,0.39,0.46,0.0,9,0.102,-8.711,0,0.0455,147.335,4,0.694
The Thoughts of Mary Jane,Nick Drake,Folk; Pop/Rock; Children's,Q4,0.687,0.437,0.321,0.669,3,0.164,-15.441,1,0.0319,122.786,4,0.389
The Facts of Life,Black Box Recorder,Pop/Rock,Q3,0.00151,0.619,0.508,1.27e-05,8,0.084,-10.014,1,0.0332,139.012,4,0.235
Do What You Do,Scarface,Rap,Q3,0.247,0.725,0.311,9.1e-05,10,0.114,-14.721,0,0.365,78.962,4,0.463
Northern Lights,Kenny G,Easy Listening; Jazz; Pop/Rock,Q4,0.648,0.578,0.319,0.676,5,0.0865,-13.928,1,0.0369,92.821,4,0.331
In the Flow,Steven Halpern,Electronic; New Age; Avant-Garde,Q4,0.991,0.257,0.253,0.932,9,0.1,-15.912,1,0.0525,76.327,3,0.0372
I've Been Working,Van Morrison,Blues; R&B,Q1,0.102,0.406,0.86,0.53,2,0.232,-11.103,1,0.048,104.676,4,0.758
Midnight Creeper,Elton John,Pop/Rock; Electronic; R&B,Q1,0.0464,0.672,0.862,0.0012,4,0.176,-6.488,1,0.0492,136.288,4,0.847
Age of Loneliness,Enigma,Electronic; New Age,Q4,0.0246,0.523,0.659,0.39,4,0.333,-12.884,0,0.0447,92.991,4,0.226
Common Thread,Bobby McFerrin,Children's; Jazz,Q4,0.949,0.125,0.0874,0.126,1,0.0979,-19.878,1,0.0336,53.564,4,0.0543
Waterfall,Steven Halpern,Electronic; New Age; Avant-Garde,Q4,0.989,0.214,0.0155,0.929,6,0.109,-26.248,1,0.0359,70.194,4,0.0333
Look What You Done for Me,Al Green,R&B,Q1,0.371,0.604,0.568,3.18e-06,10,0.182,-8.555,1,0.0447,95.672,4,0.818
Death Letter Blues,Ida Cox,Blues; Jazz,Q3,0.996,0.477,0.2,0.958,10,0.186,-13.731,0,0.0307,85.928,4,0.522
Inner Journey,Steven Halpern,New Age; Comedy/Spoken; Electronic,Q4,0.98,0.211,0.00938,0.942,5,0.0905,-28.98,0,0.0526,76.822,3,0.0365
Crystal Suite,Steven Halpern,New Age; Comedy/Spoken; Electronic,Q4,0.988,0.175,0.00302,0.967,7,0.316,-34.982,1,0.0511,75.115,3,0.0348
Terra,Caetano Veloso,International; Latin,Q4,0.652,0.549,0.296,0.000692,0,0.112,-11.566,1,0.0337,121.292,4,0.189
Un Puesto Vacante,Eddie Palmieri,Jazz; Latin,Q1,0.399,0.491,0.879,0.0989,0,0.229,-3.318,1,0.036,115.278,4,0.886
Grit,Fudge Tunnel,Pop/Rock,Q2,4.25e-05,0.141,0.99,0.731,0,0.298,-5.015,1,0.0582,159.053,4,0.651
Five Long Years,Junior Parker,Blues; R&B,Q3,0.864,0.504,0.0854,0.00349,2,0.238,-20.356,1,0.0736,152.774,3,0.218
Rock 'N' Roll Outlaw,Rose Tattoo,Pop/Rock; Electronic,Q1,0.151,0.533,0.772,0.468,4,0.27,-11.588,1,0.0312,93.057,4,0.617
Satanic Blues,Bud Freeman,Jazz,Q1,0.929,0.647,0.799,0.362,5,0.377,-8.508,1,0.108,94.819,4,0.893
Feuer,Jan Delay,Pop/Rock; Rap; Reggae,Q1,0.0162,0.721,0.641,9.62e-06,9,0.0908,-4.285,0,0.0359,137.162,4,0.621
Bandstand Boogie,Barry Manilow,Pop/Rock,Q1,0.552,0.63,0.791,0.0,4,0.0787,-9.121,1,0.0836,91.917,4,0.763
When Will They Learn,Angelic Upstarts,Pop/Rock,Q2,0.00322,0.38,0.917,0.0034,2,0.299,-7.847,1,0.098,98.294,4,0.335
Push Up on Me,Monrose,Pop/Rock,Q1,0.0328,0.705,0.903,0.0,4,0.569,-6.523,0,0.105,110.039,4,0.806
Incantations; Pt. 3,Mike Oldfield,Classical; Electronic,Q1,0.537,0.275,0.345,0.963,5,0.581,-31.355,1,0.474,119.077,5,0.0379
The Holly and the Ivy,George Winston,New Age; Holiday,Q4,0.989,0.396,0.388,0.844,8,0.12,-16.672,1,0.0368,151.211,3,0.311
Let Me,Rihanna,Pop/Rock; R&B; Reggae,Q1,0.0541,0.753,0.771,0.000304,5,0.133,-5.833,0,0.145,108.022,4,0.743
What Am I Gonna Do,Bobby Bare,Country,Q3,0.72,0.698,0.463,0.0,2,0.277,-9.675,1,0.029,143.822,4,0.908
Next Door,Anthony B,Reggae,Q3,0.686,0.784,0.398,0.329,7,0.346,-12.599,1,0.0357,105.024,4,0.619
Empathy,Sneaker Pimps,Electronic,Q3,0.675,0.408,0.498,0.0121,0,0.0924,-12.483,1,0.0392,150.231,3,0.113
Allegiance,Proletariat,Pop/Rock,Q2,0.0019,0.366,0.893,0.000163,9,0.151,-8.585,0,0.245,161.526,4,0.879
You Ruined It,Battery Cage,Electronic; Pop/Rock,Q2,2.08e-06,0.334,0.937,0.631,2,0.0892,-9.71,1,0.0413,160.011,4,0.677
Horn Island,Martin Simpson,Folk; Country,Q4,0.971,0.644,0.589,0.666,2,0.125,-8.696,0,0.0329,117.099,4,0.818
While the Music Plays On,Les Brown,Jazz; Vocal,Q3,0.989,0.551,0.0847,0.222,10,0.423,-14.554,0,0.0315,96.588,4,0.23
Dawn,Steven Halpern,New Age; Comedy/Spoken; Electronic,Q4,0.988,0.302,0.0329,0.863,9,0.103,-25.336,1,0.0572,70.729,4,0.106
Luna de Fuego,Gipsy Kings,International; Jazz,Q1,0.806,0.482,0.599,0.838,2,0.154,-14.586,1,0.0311,101.718,4,0.906
You Brought a New Kind of Love to Me,Peggy Lee,Jazz; Vocal,Q4,0.976,0.735,0.0618,6.1e-06,0,0.116,-14.23,1,0.0427,99.251,4,0.454
That Old Black Magic,Sam Butera & the Witnesses,Blues; Jazz; Vocal,Q1,0.185,0.663,0.345,2.9e-06,0,0.206,-13.496,1,0.178,124.101,4,0.799
Foggy Mountain Chimes,Flatt & Scruggs,Country,Q1,0.601,0.402,0.684,0.582,8,0.318,-8.978,1,0.0308,150.077,4,0.975
Moment's Pause,Steven Halpern,Electronic; New Age; Avant-Garde,Q4,0.991,0.342,0.0789,0.831,6,0.106,-20.822,1,0.0448,100.675,1,0.0566
Break Me; Shake Me,Enrique Iglesias,Pop/Rock; Electronic,Q1,0.223,0.789,0.72,0.0,8,0.129,-5.652,0,0.218,122.031,4,0.664
Maple Leaf Rag,Scott Joplin,Jazz,Q1,0.991,0.406,0.226,0.882,8,0.245,-22.866,1,0.0477,116.267,4,0.937
Little Saint Nick's Drive In,The Beach Boys,Holiday; Pop/Rock,Q1,0.314,0.554,0.496,1.36e-06,5,0.0571,-11.142,1,0.0887,151.103,4,0.841
Everybody Loves a Nut,Johnny Cash,Country; Comedy/Spoken,Q4,0.62,0.674,0.6,0.0134,7,0.126,-10.139,1,0.0349,91.238,4,0.872
Don't Download This Song,Weird Al Yankovic,Comedy/Spoken; Pop/Rock,Q4,0.539,0.55,0.376,0.0,7,0.0738,-11.53,1,0.0278,75.375,4,0.465
Sloppy Drunk Blues,Big Joe Williams,Blues,Q3,0.872,0.703,0.29,0.0156,3,0.0776,-14.38,1,0.0891,105.155,4,0.68
So Jah Say,Dennis Brown,Reggae,Q4,0.163,0.675,0.713,0.0,0,0.251,-6.37,1,0.0647,132.213,4,0.881
Million Dollar Secret,Helen Humes,Jazz; Vocal,Q4,0.801,0.648,0.0671,0.0,6,0.279,-19.176,1,0.107,103.692,4,0.53
What Kind of Fool (Do You Think I Am),The Tams,R&B,Q4,0.375,0.712,0.314,6.93e-06,1,0.132,-13.961,1,0.0732,116.901,4,0.522
Pachelbel's Canon,Steven Halpern,New Age; Comedy/Spoken; Electronic,Q4,0.952,0.077,0.0784,0.982,0,0.0608,-26.295,1,0.0329,78.697,4,0.0345
Radiance,Steven Halpern,Comedy/Spoken; New Age; Electronic,Q4,0.976,0.134,0.116,0.982,5,0.0849,-19.698,0,0.0383,68.027,3,0.0335
God Loves a Drunk,Richard Thompson,Pop/Rock,Q3,0.55,0.432,0.0386,0.0,11,0.105,-22.089,1,0.0414,100.859,3,0.142
Spirit Voices,Paul Simon,International; Pop/Rock; Folk,Q4,0.874,0.629,0.394,0.00162,0,0.102,-14.765,1,0.0315,107.905,4,0.815
Golpe de Estado,Daddy Yankee,Latin; Electronic,Q2,0.171,0.911,0.834,0.0,9,0.283,-5.443,0,0.245,95.022,4,0.721
How Sweet It Is (To Be Loved by You),Junior Walker & the All-Stars,R&B; Pop/Rock,Q1,0.724,0.611,0.645,0.0,1,0.715,-8.254,1,0.0634,125.156,4,0.748
Teenage Warning,Angelic Upstarts,Pop/Rock,Q2,0.00581,0.19,0.963,0.0,7,0.114,-4.493,1,0.148,174.412,4,0.296
Comfort Zone; Pt. 1,Steven Halpern,Electronic; New Age; Avant-Garde,Q4,0.953,0.183,0.0373,0.868,9,0.0842,-31.435,1,0.0377,136.403,1,0.236
I Don't Stand a Ghost of a Chance With You,Sonny Stitt,Jazz,Q3,0.935,0.572,0.224,0.813,0,0.1,-15.152,1,0.064,82.727,4,0.291
Let the Computer Decide,Paul Gilbert,Pop/Rock,Q2,0.000272,0.253,0.931,0.705,7,0.058,-4.938,1,0.131,142.122,4,0.527
Brother Harold Dee,Porter Wagoner,Country,Q3,0.606,0.547,0.392,0.000213,9,0.0973,-10.133,1,0.0854,77.786,3,0.47
In Sufferance,Disincarnate,Pop/Rock,Q2,2.18e-05,0.135,0.948,0.0985,9,0.107,-7.038,1,0.116,86.785,4,0.128
Peroxide,Subhumans,Pop/Rock,Q2,0.0111,0.332,0.948,0.00219,9,0.0966,-11.208,1,0.0778,151.314,4,0.516
Dynamite,Taio Cruz,Pop/Rock,Q1,0.00332,0.754,0.804,0.0,4,0.0329,-3.177,1,0.0853,119.968,4,0.818
Read,Product,Rap,Q3,0.00036,0.723,0.348,0.871,8,0.0408,-14.648,1,0.343,84.996,4,0.874
